id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Carnival,Luna Calle,reggaeton,festive,0.88,96,0.85,0.91,0.12
12,Winter Letters,North Pine,folk,melancholic,0.31,68,0.34,0.42,0.87
13,Steel Horizon,Iron Vale,metalcore,rebellious,0.95,170,0.29,0.51,0.06
14,Glass Cathedral,Velvet Orbit,classical,serene,0.22,58,0.62,0.20,0.96
15,Basement Strobe,Grid Static,techno,euphoric,0.90,128,0.74,0.86,0.09
16,Sunset Market,Kora Tide,afrobeat,playful,0.79,104,0.81,0.84,0.27
17,Dust Trail Radio,Cedar Creek,country,nostalgic,0.47,92,0.66,0.57,0.73
18,Midnight Freight,Blue Lantern,blues,gritty,0.54,82,0.41,0.49,0.68
